name	faculty
HONOURS ANTHROPOLOGY	15
HONOURS ANTHROPOLOGY & PSYCHOLOGY	15
HONOURS ANTHROPOLOGY & SOCIOLOGY	15
HONOURS ART & ANTHROPOLOGY	14
HONOURS ARTS & SCIENCE & COMPUTER SCIENCE	07
HONOURS ARTS & SCIENCE & HEALTH STUDIES	07
HONOURS ARTS & SCIENCE & MULTIMEDIA	07
HONOURS ARTS & SCIENCE & PSYCHOLOGY	07
HONOURS ARTS & SCIENCE & PSYCHOLOGY (MUSIC COGNITION)	07
HONOURS B HTH SCI (CHILD HEALTH SPECIALIZATION)	04
HONOURS BIOLOGY (PHYSIOLOGY SPECIALIZATION)	02
HONOURS COGNITIVE SCIENCE OF LANGUAGE & FRENCH	14
HONOURS COGNITIVE SCIENCE OF LANGUAGE & HISTORY	14
HONOURS COMMUNICATION STUDIES & LINGUISTIC COGNITIVE SCIENCE	14
HONOURS COMPARATIVE LITERATURE & ENGLISH	14
HONOURS EARTH & ENVIRONMENTAL SCIENCES	02
HONOURS FRENCH & HISTORY	14
HONOURS GEOGRAPHY & RELIGIOUS STUDIES	15
HONOURS HEALTH STUDIES & ENGLISH	15
HONOURS INTEGRATED SCIENCE (PSYCHOLOGY, NEUROSCIENCE & BEHAVIOUR))	02
HONOURS INTEGRATED SCIENCE (RADIATION SCIENCE)	02
HONOURS LINGUISTICS & POLITICAL SCIENCE	14
HONOURS MULTIMEDIA	14
HONOURS MULTIMEDIA & ECONOMICS	14
HONOURS MUSIC & THEATRE & FILM STUDIES	14
HONOURS MUSIC (MUSIC COGNITION)	14
HONOURS PEACE STUDIES & PHILOSOPHY	14
HONOURS PHILOSOPHY & LABOUR STUDIES	14
HONOURS PHILOSOPHY & RELIGIOUS STUDIES	14
HONOURS POLITICAL SCIENCE & THEATRE & FILM STUDIES	14
HONOURS PSYCHOLOGY-NEUROSCIENCE & BEHAVIOUR-MUSIC COGNITION	15
HONOURS RELIGIOUS STUDIES	15
INTEGRATED SCIENCE 1	02
IRREGULAR	06
IRREGULAR	07
MEDICAL MICROBIOLOGY	23
PAEDIATRICS	23
CLINICAL INVESTIGATOR PROGRAMME-PSYCHIATRY	23
COMPUTER ENGINEERING	03
COMPUTING AND INFORMATION TECHNOLOGY (B.TECH)	03
CREDIT OUTSIDE MCMASTER	06
H CULTURAL STUDIES & CRITICAL THEORY & THEATRE & FILM ST	14
HON PSYCHOLOGY-NEUROSCI & BEHAVIOUR (ORIGINS RESEARCH SPEC)	02
HONOURS BIOLOGY & MATHEMATICS	02
HONOURS CLASSICS-A	14
HONOURS COMMUNICATION STUDIES & LABOUR STUDIES	15
HONOURS COMMUNICATION STUDIES & RELIGIOUS STUDIES	15
HONOURS ECONOMICS & GEOGRAPHY	15
HONOURS ENGLISH & THEATRE & FILM STUDIES	14
HONOURS INTEGRATED SCIENCE (EARTH & ENVIRONMENTAL SCIENCE)	02
HONOURS KINESIOLOGY	15
HONOURS LABOUR STUDIES	15
HONOURS MATHEMATICS & PHYSICS	02
HONOURS PHILOSOPHY & THEATRE & FILM STUDIES	14
HONOURS POLITICAL SCIENCE & WOMEN'S STUDIES	14
INTERNAL MEDICINE/PALLIATIVE CARE	23
JUSTICE, POLITICAL PHILOSOPHY AND LAW	14
PROCESS AUTOMATION TECHNOLOGY	03
TRAUMA SURGERY	23
CHEMICAL ENGINEERING	03
CLINICAL INVESTIGATOR PROGRAMME-NEUROLOGY	23
COMPUTER SCIENCE 1 CO-OP	03
CREDIT OUTSIDE MCMASTER	14
ELECTRICAL ENGINEERING CO-OP	03
FORENSIC PATHOLOGY	23
GERIATRIC MEDICINE	23
GERONTOLOGY & RELIGIOUS STUDIES	15
H COMMUNICATION STUDIES(CULTURAL STUDIES/MASS COMMUNICATION)	14
HEALTH STUDIES	15
HEALTH STUDIES & INDIGENOUS STUDIES & SOCIAL WORK	15
HONOURS ART & MULTIMEDIA	14
HONOURS ARTS & SCIENCE & HISTORY	07
HONOURS BACHELOR OF HEALTH SCIENCES	04
HONOURS BIOLOGY & ENVIRONMENTAL SCIENCES	02
HONOURS BIOLOGY & PSYCHOLOGY	02
HONOURS CULTURAL STUDIES & CRITICAL THEORY & ENGLISH	14
HONOURS ENGLISH & HISTORY	14
HONOURS FRENCH & MATHEMATICS	14
HONOURS INTEGRATED SCIENCE (BIOCHEMISTRY)	02
HONOURS LABOUR STUDIES & ANTHROPOLOGY	15
HONOURS LABOUR STUDIES & GEOGRAPHY	15
HONOURS MATHEMATICS & STATISTICS CO-OP (APPLIED MATH SPEC)	02
HONOURS MULTIMEDIA & POLITICAL SCIENCE	14
HONOURS PHYSICS (ASTROPHYSICS SPECIALIZATION)	02
MECHANICAL ENGINEERING & MANAGEMENT	03
PHYSICAL MEDICINE & REHABILITATION	23
PUBLIC HEALTH AND PREVENTATIVE MEDICINE - FM	23
RHEUMATOLOGY/INTERNAL MEDICINE	23
SCIENCE	02
ANATOMICAL PATHOLOGY	23
CREDIT OUTSIDE MCMASTER	15
FAMILY MEDICINE - ANAESTHESIA/ROMP	23
HEMATOLOGY - ONCOLOGY/PEDIATRICS	23
HONOURS ART & ENGLISH	14
HONOURS ART HISTORY & ECONOMICS	14
HONOURS ARTS & SCIENCE & PEACE STUDIES	07
HONOURS ARTS & SCIENCE & POLITICAL SCIENCE	07
HONOURS B HTH SCI (BIOMEDICAL SCIENCES SPECIALIZATION)	04
HONOURS BIOCHEMISTRY - BIOMEDICAL RESEARCH SPECIALIZATION (CO-OP)	02
HONOURS BIOCHEMISTRY (BIOMEDICAL SCIENCES)	02
HONOURS CHEMICAL BIOLOGY (CO-OP)	02
HONOURS COMMUNICATION ST & CULTURAL ST AND CRITICAL THEORY	14
HONOURS COMMUNICATION STUDIES & HEALTH STUDIES	15
HONOURS FRENCH & PEACE STUDIES	14
HONOURS HISTORY & MUSIC	14
HONOURS LINGUISTICS & MULTIMEDIA	14
HONOURS LINGUISTICS & PHILOSOPHY	14
HONOURS MUSIC & RELIGIOUS STUDIES	14
HONOURS PEACE STUDIES & SOCIOLOGY	14
INDIGENOUS STUDIES & PHILOSOPHY	14
MECHATRONICS & INTERNATIONAL STUDIES	03
MUSIC 1	14
OPHTHALMOLOGY	23
PEDIATRIC SURGERY	23
CIVIL ENGINEERING & SOCIETY CO-OP	03
CIVIL ENGINEERING CO-OP	03
COMPUTER ENGINEERING & MANAGEMENT CO-OP	03
EMERGENCY MEDICINE/NIAGARA	23
ENGLISH & SOCIAL WORK	14
FAMILY MEDICINE/RURAL - OWEN SOUND	23
GENERAL SURGERY/NOMP	23
HONOURS ART STUDIO	14
HONOURS ARTS & SCIENCE & CLASSICS	07
HONOURS BIOCHEMISTRY (CO-OP) BIOTECHNOLOGY	02
HONOURS BIOLOGY (BIODIVERSITY SPECIALIZATION)	02
HONOURS BIOPHYSICS CO-OP	02
HONOURS CLASSICS & PHILOSOPHY	14
HONOURS CLASSICS-A & HISTORY	14
HONOURS COMMUNICATION STUDIES	14
HONOURS COMMUNICATION STUDIES & PHILOSOPHY	14
HONOURS COMMUNICATION STUDIES & POLITICAL SCIENCE	15
HONOURS COMPUTER SCIENCE CO-OP	03
HONOURS ENGLISH & PEACE STUDIES	14
HONOURS GERONTOLOGY & COGNITIVE SCIENCE OF LANGUAGE	15
HONOURS HEALTH STUDIES & WOMEN'S STUDIES	15
HONOURS KINESIOLOGY	02
HONOURS POLITICAL SCIENCE & SOCIOLOGY	15
HONOURS PSYCHOLOGY-NEUROSCIENCE & BEHAVIOUR-MUSIC COGNITION	02
HUMANITIES	14
INDIGENOUS STUDIES & SOCIOLOGY	15
MATERIALS ENGINEERING - NANOMATERIALS STREAM	03
MATERIALS ENGINEERING & INTERNATIONAL STUDIES	03
MECHANICAL ENGINEERING CO-OP	03
OBSTETRICS & GYNECOLOGY	23
PLASTIC SURGERY	23
RELIGIOUS STUDIES	15
SOCIOLOGY & SOCIAL WORK	15
THEATRE & FILM STUDIES & SOCIAL WORK	14
CLINICAL HEMATOLOGY - ADULT/INTERNAL MEDICINE	23
CLINICIAN INVESTIGATORS PROGRAM/PEDIATRICS	23
COMMERCE	06
ELECTRICAL & BIOMEDICAL ENGINEERING	03
ELECTRICAL ENGINEERING	03
ENGINEERING PHYSICS & MANAGEMENT - NANO- AND MICRO-DEVICES	03
FAMILY MEDICINE - ANAESTHESIA	23
GASTROENTEROLOGY	23
HONOURS ANTHROPOLOGY & RELIGIOUS STUDIES	15
HONOURS ART HISTORY & COMMUNICATION STUDIES	14
HONOURS ARTS & SCIENCE & FRENCH	07
HONOURS B HTH SCI (GLOBAL HEALTH SPECIALIZATION)	04
HONOURS CLASSICS & MUSIC	14
HONOURS COMMUNICATION STUDIES & CLASSICS	14
HONOURS COMMUNICATION STUDIES & LINGUISTICS	14
HONOURS ECONOMICS & FRENCH	14
HONOURS ENGLISH & FRENCH	14
HONOURS ENGLISH & MULTIMEDIA	14
HONOURS GEOGRAPHY & THEATRE & FILM STUDIES	14
HONOURS GEOSCIENCE	02
HONOURS GERONTOLOGY & LABOUR STUDIES	15
HONOURS HISTORY & SOCIOLOGY	14
HONOURS HISTORY & WOMEN'S STUDIES	14
HONOURS INTEGRATED SCIENCE (CHEMICAL BIOLOGY)	02
HONOURS INTEGRATED SCIENCE (CHEMISTRY)	02
HONOURS INTEGRATED SCIENCE (PHYSICS)	02
HONOURS MATHEMATICS & STATISTICS(MATHEMATICS SPECIALIZATION)	02
HONOURS PHILOSOPHY & ANTHROPOLOGY	14
HONOURS PHYSICS (CO-OP)	02
HONOURS POLITICAL SCIENCE & RELIGIOUS STUDIES	15
MATERIALS ENGINEERING & SOCIETY - NANOMATERIALS STREAM CO-OP	03
MECHANICAL ENGINEERING & SOCIETY CO-OP	03
MECHATRONICS & INTERNATIONAL STUDIES CO-OP	03
MIDWIFERY	04
PSYCHOLOGY	15
SOFTWARE ENGINEERING & INTERNATIONAL STUDIES	03
SURGERY	23
