name	faculty
HONOURS BIOLOGY (ORIGINS RESEARCH SPECIALIZATION)	02
HONOURS CLASSICS & RELIGIOUS STUDIES	14
HONOURS COGNITIVE SCIENCE OF LANGUAGE & SOCIOLOGY	14
HONOURS ECONOMICS & SOCIOLOGY	15
HONOURS HEALTH STUDIES & POLITICAL SCIENCE	15
HONOURS HEALTH STUDIES & RELIGIOUS STUDIES	15
HONOURS HEALTH STUDIES & THEATRE & FILM	15
HONOURS HISTORY	14
HONOURS HISTORY & POLITICAL SCIENCE	14
HONOURS MATHEMATICS & STATISTICS CO-OP	02
HONOURS MATHEMATICS & STATISTICS CO-OP (MATHEMATICS SPEC)	02
HONOURS PHILOSOPHY & BIOLOGY	14
HONOURS PHILOSOPHY & ECONOMICS	14
HONOURS PSYCHOLOGY-NEUROSCIENCE & BEHAVIOUR (B.A.) - MENTAL HEALTH SPECIALIZATION	15
INDIGENOUS STUDIES & THEATRE & FILM STUDIES	14
STUDIO ART I	14
CIVIL ENG STRUCTURAL/GEOTECHNICAL ENGINEERING STREAM CO-OP	03
EMERGENCY MEDICINE	23
ENGINEERING PHYSICS - NANO- & MICRO-DEVICES STREAM	03
FAMILY MEDICINE	23
HISTORY	14
HONOURS ACTUARIAL AND FINANCIAL MATHEMATICS	02
HONOURS ART & COMMUNICATION STUDIES	14
HONOURS ARTS & SCIENCE & ART (STUDIO)	07
HONOURS ARTS & SCIENCE & ORIGINS	07
HONOURS BIOCHEMISTRY - BIOMEDICAL RESEARCH SPECIALIZATION	02
HONOURS CHEMISTRY (ORIGINS RESEARCH SPECIALIZATION)	02
HONOURS HISTORY & THEATRE & FILM STUDIES	14
HONOURS PEACE STUDIES & RELIGIOUS STUDIES	14
HONOURS PHILOSOPHY & PSYCHOLOGY	14
HONOURS THEATRE & FILM STUDIES	14
MATERIALS ENGINEERING	03
MATERIALS ENGINEERING & SOCIETY	03
PHILOSOPHY & SOCIAL WORK	14
POST DIPLOMA REGISTERED PRACTICAL NURSE TO BSCN	04
SOCIAL SCIENCE & SOCIAL WORK	15
SOCIAL WORK	15
SOCIOLOGY	15
SOFTWARE ENGINEERING & MANAGEMENT	03
ANTHROPOLOGY & SOCIAL WORK	15
BIOMEDICAL DISCOVERY & COMMERCIALIZATION	04
CIVIL ENG & MANAGEMENT WATER/ENVIRONMENTAL STREAM CO-OP	03
CLINICAL INVESTIGATOR PROGRAMME-RHEUMATOLOGY	23
EMERGENCY MEDICINE-FAMILY MEDICINE/ROMP	23
ENGINEERING 1 CO-OP	03
FAMILY MEDICINE - SPORTS MEDICINE	23
HONOURS ART HISTORY & ENGLISH	14
HONOURS COGNITIVE SCIENCE OF LANGUAGE	14
HONOURS ENGLISH & RELIGIOUS STUDIES	14
HONOURS ENGLISH & SOCIOLOGY	14
HONOURS GEOGRAPHY & SOCIOLOGY	15
HONOURS HISTORY & RELIGIOUS STUDIES	14
HONOURS LIFE SCIENCE (ORIGINS RESEARCH SPECIALIZATION)	02
HONOURS MATHEMATICS & PHILOSOPHY	14
IRREGULAR	05
KINESIOLOGY GENERAL	02
MANUFACTURING ENGINEERING TECHNOLOGY	03
MATHEMATICAL SCIENCE	02
MECHANICAL ENGINEERING AND MANAGEMENT CO-OP	03
CIVIL ENGINEERING	03
CLINICAL INVESTIGATOR PROGRAMME-HEMATOLOGY	23
CREDIT OUTSIDE MCMASTER	03
ECONOMICS	15
