target	source	value
HONOURS COMMUNICATION STUDIES & THEATRE & FILM STUDIES	HUMANITIES 1	31
HONOURS COMPUTER SCIENCE	COMPUTER SCIENCE 1	31
HONOURS COMPUTER SCIENCE	HONOURS COMPUTER SCIENCE CO-OP	20
HONOURS COMPUTER SCIENCE CO-OP	COMPUTER SCIENCE 1	25
HONOURS COMPUTER SCIENCE CO-OP	COMPUTER SCIENCE 1 CO-OP	104
HONOURS COMPUTER SCIENCE CO-OP	HONOURS COMPUTER SCIENCE	25
HONOURS CULTURAL STUDIES & CRITICAL THEORY & ENGLISH	HUMANITIES 1	29
HONOURS CULTURAL STUDIES & CRITICAL THEORY & PEACE STUDIES	HUMANITIES 1	11
HONOURS CULTURAL STUDIES & CRITICAL THEORY & PHILOSOPHY	HUMANITIES 1	8
HONOURS EARTH & ENVIRONMENTAL SCIENCES	ENVIRONMENTAL & EARTH SCIENCES 1	50
HONOURS EARTH & ENVIRONMENTAL SCIENCES	ENVIRONMENTAL SCIENCES	22
HONOURS EARTH & ENVIRONMENTAL SCIENCES	HONOURS ENVIRONMENTAL SCIENCES	20
HONOURS EARTH & ENVIRONMENTAL SCIENCES	LIFE SCIENCES 1	6
HONOURS ECONOMICS	BUSINESS 1	38
HONOURS ECONOMICS	COMMERCE	7
HONOURS ECONOMICS	ECONOMICS	176
HONOURS ECONOMICS	ENGINEERING 1	16
HONOURS ECONOMICS	HONOURS BACHELOR OF COMMERCE	7
HONOURS ECONOMICS	HUMANITIES 1	20
HONOURS ECONOMICS	LIFE SCIENCES 1	6
HONOURS ECONOMICS	MATHEMATICS & STATISTICS 1	20
HONOURS ECONOMICS	SOCIAL SCIENCES	27
HONOURS ECONOMICS	SOCIAL SCIENCES 1	209
HONOURS ECONOMICS & MATHEMATICS	MATHEMATICS & STATISTICS 1	7
HONOURS ECONOMICS & POLITICAL SCIENCE	HONOURS ECONOMICS	6
HONOURS ECONOMICS & POLITICAL SCIENCE	SOCIAL SCIENCES 1	34
HONOURS ECONOMICS & PSYCHOLOGY	SOCIAL SCIENCES 1	7
HONOURS ECONOMICS & SOCIOLOGY	SOCIAL SCIENCES 1	12
HONOURS ENGLISH	ENGLISH	83
HONOURS ENGLISH	HONOURS CULTURAL STUDIES & CRITICAL THEORY & ENGLISH	6
HONOURS ENGLISH	HONOURS ENGLISH & PHILOSOPHY	7
HONOURS ENGLISH	HUMANITIES	10
HONOURS ENGLISH	HUMANITIES 1	209
HONOURS ENGLISH	SOCIAL SCIENCES 1	24
HONOURS ENGLISH & ANTHROPOLOGY	HUMANITIES 1	6
HONOURS ENGLISH & FRENCH	HONOURS ENGLISH	6
HONOURS ENGLISH & FRENCH	HUMANITIES 1	13
HONOURS ENGLISH & HISTORY	HUMANITIES 1	105
HONOURS ENGLISH & LINGUISTICS	HUMANITIES 1	6
HONOURS ENGLISH & MULTIMEDIA	HUMANITIES 1	8
HONOURS ENGLISH & PEACE STUDIES	HUMANITIES 1	8
HONOURS ENGLISH & PHILOSOPHY	HUMANITIES 1	48
HONOURS ENGLISH & POLITICAL SCIENCE	SOCIAL SCIENCES 1	12
HONOURS ENGLISH & RELIGIOUS STUDIES	ENGLISH	8
HONOURS ENGLISH & RELIGIOUS STUDIES	HUMANITIES 1	10
HONOURS ENGLISH & SOCIOLOGY	HUMANITIES 1	16
HONOURS ENGLISH & SOCIOLOGY	SOCIAL SCIENCES 1	17
HONOURS ENGLISH & THEATRE & FILM STUDIES	ENGLISH	7
HONOURS ENGLISH & THEATRE & FILM STUDIES	HUMANITIES 1	22
HONOURS ENVIRONMENTAL SCIENCES	ENVIRONMENTAL & EARTH SCIENCES 1	72
HONOURS ENVIRONMENTAL SCIENCES	ENVIRONMENTAL SCIENCES	37
HONOURS ENVIRONMENTAL SCIENCES	HONOURS EARTH & ENVIRONMENTAL SCIENCES	8
HONOURS ENVIRONMENTAL SCIENCES	HONOURS GEOGRAPHY & ENVIRONMENTAL SCIENCES	6
HONOURS ENVIRONMENTAL SCIENCES	HONOURS GEOGRAPHY & ENVIRONMENTAL STUDIES	8
HONOURS ENVIRONMENTAL SCIENCES	HONOURS LIFE SCIENCES	8
HONOURS ENVIRONMENTAL SCIENCES	LIFE SCIENCES	7
HONOURS ENVIRONMENTAL SCIENCES	LIFE SCIENCES 1	12
HONOURS ENVIRONMENTAL SCIENCES	SCIENCE	23
HONOURS FRENCH	FRENCH	18
HONOURS FRENCH	HUMANITIES 1	28
HONOURS FRENCH	SOCIAL SCIENCES 1	6
HONOURS FRENCH & HISTORY	HONOURS HISTORY	8
HONOURS FRENCH & LINGUISTICS	HUMANITIES 1	9
HONOURS FRENCH & POLITICAL SCIENCE	HUMANITIES 1	8
HONOURS FRENCH & POLITICAL SCIENCE	SOCIAL SCIENCES 1	6
HONOURS FRENCH & SOCIOLOGY	SOCIAL SCIENCES 1	10
HONOURS GEOGRAPHY	GEOGRAPHY	36
HONOURS GEOGRAPHY	HONOURS GEOGRAPHY & RELIGIOUS STUDIES	7
HONOURS GEOGRAPHY	SOCIAL SCIENCES 1	70
HONOURS GEOGRAPHY & ENVIRONMENTAL SCIENCES	ENVIRONMENTAL & EARTH SCIENCES 1	24
HONOURS GEOGRAPHY & ENVIRONMENTAL SCIENCES	ENVIRONMENTAL SCIENCES	8
HONOURS GEOGRAPHY & ENVIRONMENTAL SCIENCES	HONOURS GEOGRAPHY & ENVIRONMENTAL STUDIES	9
HONOURS GEOGRAPHY & ENVIRONMENTAL STUDIES	ENVIRONMENTAL & EARTH SCIENCES 1	8
HONOURS GEOGRAPHY & ENVIRONMENTAL STUDIES	GEOGRAPHY	17
HONOURS GEOGRAPHY & ENVIRONMENTAL STUDIES	HONOURS GEOGRAPHY	10
HONOURS GEOGRAPHY & ENVIRONMENTAL STUDIES	HUMANITIES 1	11
HONOURS GEOGRAPHY & ENVIRONMENTAL STUDIES	SOCIAL SCIENCES	12
HONOURS GEOGRAPHY & ENVIRONMENTAL STUDIES	SOCIAL SCIENCES 1	88
HONOURS GEOGRAPHY & POLITICAL SCIENCE	SOCIAL SCIENCES 1	8
HONOURS GEOGRAPHY & SOCIOLOGY	SOCIAL SCIENCES 1	16
HONOURS GERONTOLOGY	SOCIAL SCIENCES 1	78
HONOURS GERONTOLOGY & SOCIOLOGY	SOCIAL SCIENCES 1	28
HONOURS HEALTH STUDIES	HEALTH, AGING & SOCIETY	24
HONOURS HEALTH STUDIES	HONOURS HEALTH STUDIES & SOCIOLOGY	8
HONOURS HEALTH STUDIES	SOCIAL SCIENCES	6
HONOURS HEALTH STUDIES	SOCIAL SCIENCES 1	110
HONOURS HEALTH STUDIES & GERONTOLOGY	HEALTH, AGING & SOCIETY	9
HONOURS HEALTH STUDIES & GERONTOLOGY	HONOURS GERONTOLOGY	25
HONOURS HEALTH STUDIES & GERONTOLOGY	HONOURS GERONTOLOGY & SOCIOLOGY	7
HONOURS HEALTH STUDIES & GERONTOLOGY	HONOURS HEALTH STUDIES	33
HONOURS HEALTH STUDIES & GERONTOLOGY	SOCIAL SCIENCES 1	79
HONOURS HEALTH STUDIES & SOCIOLOGY	SOCIAL SCIENCES 1	28
HONOURS HISTORY	HISTORY	56
HONOURS HISTORY	HONOURS CLASSICS & HISTORY	12
HONOURS HISTORY	HONOURS ENGLISH & HISTORY	6
HONOURS HISTORY	HONOURS HISTORY & PHILOSOPHY	6
HONOURS HISTORY	HONOURS HISTORY & POLITICAL SCIENCE	6
HONOURS HISTORY	HUMANITIES	8
HONOURS HISTORY	HUMANITIES 1	148
HONOURS HISTORY	SOCIAL SCIENCES 1	18
HONOURS HISTORY & ANTHROPOLOGY	HUMANITIES 1	18
HONOURS HISTORY & ANTHROPOLOGY	SOCIAL SCIENCES 1	10
HONOURS HISTORY & MULTIMEDIA	HUMANITIES 1	6
HONOURS HISTORY & PEACE STUDIES	HUMANITIES 1	10
HONOURS HISTORY & PHILOSOPHY	HUMANITIES 1	28
HONOURS HISTORY & POLITICAL SCIENCE	HISTORY	6
HONOURS HISTORY & POLITICAL SCIENCE	HONOURS HISTORY	12
HONOURS HISTORY & POLITICAL SCIENCE	HONOURS POLITICAL SCIENCE	8
HONOURS HISTORY & POLITICAL SCIENCE	HUMANITIES 1	24
HONOURS HISTORY & POLITICAL SCIENCE	SOCIAL SCIENCES 1	21
HONOURS HISTORY & RELIGIOUS STUDIES	HUMANITIES 1	17
HONOURS HISTORY & SOCIOLOGY	HUMANITIES 1	8
HONOURS INTEGRATED SCIENCE	INTEGRATED SCIENCE 1	24
HONOURS INTEGRATED SCIENCE (BIOCHEMISTRY)	INTEGRATED SCIENCE 1	36
HONOURS INTEGRATED SCIENCE (BIOLOGY)	INTEGRATED SCIENCE 1	34
HONOURS INTEGRATED SCIENCE (BIOPHYSICS)	INTEGRATED SCIENCE 1	16
HONOURS INTEGRATED SCIENCE (CHEMICAL BIOLOGY)	INTEGRATED SCIENCE 1	8
HONOURS INTEGRATED SCIENCE (CHEMISTRY)	INTEGRATED SCIENCE 1	6
HONOURS INTEGRATED SCIENCE (EARTH & ENVIRONMENTAL SCIENCE)	INTEGRATED SCIENCE 1	23
HONOURS INTEGRATED SCIENCE (MATHEMATICS & STATISTICS)	HONOURS INTEGRATED SCIENCE (PHYSICS)	6
HONOURS INTEGRATED SCIENCE (MATHEMATICS & STATISTICS)	INTEGRATED SCIENCE 1	10
HONOURS INTEGRATED SCIENCE (PHYSICS)	INTEGRATED SCIENCE 1	24
HONOURS INTEGRATED SCIENCE (PSYCHOLOGY, NEUROSCIENCE & BEHAVIOUR))	INTEGRATED SCIENCE 1	28
HONOURS INTEGRATED SCIENCE (RADIATION SCIENCE)	INTEGRATED SCIENCE 1	8
HONOURS KINESIOLOGY	HONOURS KINESIOLOGY 1	1113
HONOURS KINESIOLOGY	KINESIOLOGY GENERAL	46
HONOURS KINESIOLOGY	LIFE SCIENCES 1	8
HONOURS KINESIOLOGY	SCIENCE	17
HONOURS KINESIOLOGY 1	LIFE SCIENCES 1	10
HONOURS LABOUR STUDIES	HONOURS LABOUR STUDIES & ECONOMICS	6
HONOURS LABOUR STUDIES	HUMANITIES 1	8
HONOURS LABOUR STUDIES	LABOUR STUDIES	22
HONOURS LABOUR STUDIES	SOCIAL SCIENCES	6
HONOURS LABOUR STUDIES	SOCIAL SCIENCES 1	73
HONOURS LABOUR STUDIES & ANTHROPOLOGY	SOCIAL SCIENCES 1	6
HONOURS LABOUR STUDIES & POLITICAL SCIENCE	HONOURS LABOUR STUDIES	10
HONOURS LABOUR STUDIES & POLITICAL SCIENCE	SOCIAL SCIENCES 1	42
HONOURS LABOUR STUDIES & SOCIOLOGY	HONOURS SOCIOLOGY	6
HONOURS LABOUR STUDIES & SOCIOLOGY	SOCIAL SCIENCES 1	18
HONOURS LIFE SCIENCE (ORIGINS RESEARCH SPECIALIZATION)	LIFE SCIENCES 1	20
HONOURS LIFE SCIENCES	ENVIRONMENTAL & EARTH SCIENCES 1	52
HONOURS LIFE SCIENCES	HONOURS BIOCHEMISTRY	21
HONOURS LIFE SCIENCES	HONOURS BIOCHEMISTRY (BIOMEDICAL SCIENCES)	13
HONOURS LIFE SCIENCES	HONOURS BIOLOGY	33
HONOURS LIFE SCIENCES	HONOURS BIOLOGY & PSYCHOLOGY	11
HONOURS LIFE SCIENCES	HONOURS BIOLOGY (PHYSIOLOGY SPECIALIZATION)	18
HONOURS LIFE SCIENCES	HONOURS CHEMICAL BIOLOGY	6
HONOURS LIFE SCIENCES	HONOURS ENVIRONMENTAL SCIENCES	6
HONOURS LIFE SCIENCES	HONOURS LIFE SCIENCE (ORIGINS RESEARCH SPECIALIZATION)	10
HONOURS LIFE SCIENCES	HONOURS MOLECULAR BIOLOGY & GENETICS	10
HONOURS LIFE SCIENCES	HONOURS PSYCHOLOGY-NEUROSCIENCE & BEHAVIOUR	11
HONOURS LIFE SCIENCES	LIFE SCIENCES	461
HONOURS LIFE SCIENCES	LIFE SCIENCES 1	1560
HONOURS LIFE SCIENCES	MEDICAL RADIATION SCIENCES - RADIOGRAPHY SPECIALIZATION	10
HONOURS LIFE SCIENCES	MEDICAL RADIATION SCIENCES - ULTRASONOGRAPHY SPECIALIZATION	6
HONOURS LIFE SCIENCES	MEDICAL RADIATION SCIENCES -RADIATION THERAPY SPECIALIZATION	6
HONOURS LIFE SCIENCES	PHYSICAL SCIENCES 1	16
HONOURS LIFE SCIENCES	PSYCHOLOGY	26
HONOURS LIFE SCIENCES	SCIENCE	106
HONOURS LIFE SCIENCES	SOCIAL SCIENCES 1	26
HONOURS LINGUISTICS	HUMANITIES	14
HONOURS LINGUISTICS	HUMANITIES 1	49
HONOURS LINGUISTICS & ANTHROPOLOGY	HUMANITIES 1	6
HONOURS MATHEMATICS & STATISTICS	HONOURS BIOLOGY & MATHEMATICS	8
HONOURS MATHEMATICS & STATISTICS	HONOURS LIFE SCIENCES	6
HONOURS MATHEMATICS & STATISTICS	HONOURS MATHEMATICS & STATISTICS(MATHEMATICS SPECIALIZATION)	18
HONOURS MATHEMATICS & STATISTICS	HONOURS MATHEMATICS & STATISTICS(STATISTICS SPECIALIZATION)	11
HONOURS MATHEMATICS & STATISTICS	LIFE SCIENCES 1	19
HONOURS MATHEMATICS & STATISTICS	MATHEMATICAL SCIENCE	17
HONOURS MATHEMATICS & STATISTICS	MATHEMATICS & STATISTICS 1	36
HONOURS MATHEMATICS & STATISTICS CO-OP	HONOURS MATHEMATICS & STATISTICS CO-OP (MATHEMATICS SPEC)	9
HONOURS MATHEMATICS & STATISTICS CO-OP	HONOURS MATHEMATICS & STATISTICS(MATHEMATICS SPECIALIZATION)	7
HONOURS MATHEMATICS & STATISTICS CO-OP	HONOURS MATHEMATICS & STATISTICS(STATISTICS SPECIALIZATION)	6
HONOURS MATHEMATICS & STATISTICS CO-OP (STATISTICS SPEC)	HONOURS MATHEMATICS & STATISTICS	6
HONOURS MATHEMATICS & STATISTICS CO-OP (STATISTICS SPEC)	HONOURS MATHEMATICS & STATISTICS(STATISTICS SPECIALIZATION)	7
HONOURS MATHEMATICS & STATISTICS(APPLIED MATHEMATICS SPEC)	MATHEMATICS & STATISTICS 1	50
HONOURS MATHEMATICS & STATISTICS(MATHEMATICS SPECIALIZATION)	HONOURS MATHEMATICS & STATISTICS	8
HONOURS MATHEMATICS & STATISTICS(MATHEMATICS SPECIALIZATION)	MATHEMATICS & STATISTICS 1	39
HONOURS MATHEMATICS & STATISTICS(STATISTICS SPECIALIZATION)	HONOURS MATHEMATICS & STATISTICS CO-OP (STATISTICS SPEC)	7
HONOURS MATHEMATICS & STATISTICS(STATISTICS SPECIALIZATION)	LIFE SCIENCES 1	7
HONOURS MATHEMATICS & STATISTICS(STATISTICS SPECIALIZATION)	MATHEMATICS & STATISTICS 1	46
HONOURS MEDICAL & HEALTH PHYSICS	LIFE SCIENCES 1	22
HONOURS MEDICAL & HEALTH PHYSICS	PHYSICAL SCIENCES 1	32
HONOURS MEDICAL & HEALTH PHYSICS CO-OP	HONOURS MEDICAL & HEALTH PHYSICS	23
HONOURS MOLECULAR BIOLOGY & GENETICS	LIFE SCIENCES 1	270
HONOURS MOLECULAR BIOLOGY & GENETICS CO-OP	HONOURS MOLECULAR BIOLOGY & GENETICS	52
HONOURS MULTIMEDIA	HONOURS COMMUNICATION STUDIES & MULTIMEDIA	6
HONOURS MULTIMEDIA	HUMANITIES	8
HONOURS MULTIMEDIA	HUMANITIES 1	55
HONOURS MULTIMEDIA & PHILOSOPHY	HUMANITIES 1	6
HONOURS MULTIMEDIA & THEATRE & FILM STUDIES	HUMANITIES 1	16
HONOURS MUSIC	MUSIC	7
HONOURS MUSIC	MUSIC 1	140
HONOURS MUSIC (MUSIC COGNITION)	MUSIC 1	16
HONOURS PEACE STUDIES & ANTHROPOLOGY	HUMANITIES 1	7
HONOURS PEACE STUDIES & PHILOSOPHY	HUMANITIES 1	15
HONOURS PEACE STUDIES & POLITICAL SCIENCE	HUMANITIES 1	8
HONOURS PEACE STUDIES & POLITICAL SCIENCE	SOCIAL SCIENCES 1	10
HONOURS PHILOSOPHY	HUMANITIES 1	74
HONOURS PHILOSOPHY	PHILOSOPHY	29
HONOURS PHILOSOPHY	PSYCHOLOGY	6
HONOURS PHILOSOPHY	SOCIAL SCIENCES 1	8
HONOURS PHILOSOPHY & BIOLOGY	HUMANITIES 1	10
HONOURS PHILOSOPHY & POLITICAL SCIENCE	HONOURS POLITICAL SCIENCE	7
HONOURS PHILOSOPHY & POLITICAL SCIENCE	HUMANITIES 1	24
HONOURS PHILOSOPHY & POLITICAL SCIENCE	SOCIAL SCIENCES 1	36
HONOURS PHILOSOPHY & SOCIOLOGY	SOCIAL SCIENCES 1	8
HONOURS PHILOSOPHY & THEATRE & FILM STUDIES	HUMANITIES 1	10
HONOURS PHYSICS	HONOURS PHYSICS (CO-OP)	6
HONOURS PHYSICS	LIFE SCIENCES 1	16
HONOURS PHYSICS	PHYSICAL SCIENCES 1	43
HONOURS PHYSICS (ASTROPHYSICS SPECIALIZATION)	PHYSICAL SCIENCES 1	28
HONOURS PHYSICS (BIOPHYSICS SPECIALIZATION)	LIFE SCIENCES 1	16
HONOURS PHYSICS (CO-OP)	HONOURS PHYSICS	8
HONOURS PHYSICS (CO-OP)	HONOURS PHYSICS (ASTROPHYSICS SPECIALIZATION)	11
HONOURS POLITICAL SCIENCE	HONOURS ECONOMICS & POLITICAL SCIENCE	8
HONOURS POLITICAL SCIENCE	HONOURS HISTORY & POLITICAL SCIENCE	10
HONOURS POLITICAL SCIENCE	HONOURS PHILOSOPHY & POLITICAL SCIENCE	13
HONOURS POLITICAL SCIENCE	HONOURS POLITICAL SCIENCE & SOCIOLOGY	10
HONOURS POLITICAL SCIENCE	HUMANITIES 1	24
HONOURS POLITICAL SCIENCE	POLITICAL SCIENCE	118
HONOURS POLITICAL SCIENCE	SOCIAL SCIENCES	20
HONOURS POLITICAL SCIENCE	SOCIAL SCIENCES 1	290
HONOURS POLITICAL SCIENCE & RELIGIOUS STUDIES	SOCIAL SCIENCES 1	10
HONOURS POLITICAL SCIENCE & SOCIOLOGY	HONOURS SOCIOLOGY	12
HONOURS POLITICAL SCIENCE & SOCIOLOGY	SOCIAL SCIENCES 1	60
HONOURS PSYCHOLOGY-NEUROSCIENCE & BEHAVIOUR	ENVIRONMENTAL & EARTH SCIENCES 1	8
HONOURS PSYCHOLOGY-NEUROSCIENCE & BEHAVIOUR	HON PSYCHOLOGY-NEUROSCI & BEHAVIOUR (ORIGINS RESEARCH SPEC)	10
HONOURS PSYCHOLOGY-NEUROSCIENCE & BEHAVIOUR	HONOURS BIOCHEMISTRY (BIOMEDICAL SCIENCES)	6
HONOURS PSYCHOLOGY-NEUROSCIENCE & BEHAVIOUR	HONOURS BIOLOGY & PSYCHOLOGY	29
HONOURS PSYCHOLOGY-NEUROSCIENCE & BEHAVIOUR	HONOURS LIFE SCIENCES	52
HONOURS PSYCHOLOGY-NEUROSCIENCE & BEHAVIOUR	HONOURS PSYCHOLOGY-NEUROSCIENCE & BEHAVIOUR-MUSIC COGNITION	6
HONOURS PSYCHOLOGY-NEUROSCIENCE & BEHAVIOUR	HONOURS SOCIAL PSYCHOLOGY	6
HONOURS PSYCHOLOGY-NEUROSCIENCE & BEHAVIOUR	HUMANITIES 1	6
HONOURS PSYCHOLOGY-NEUROSCIENCE & BEHAVIOUR	LIFE SCIENCES	12
HONOURS PSYCHOLOGY-NEUROSCIENCE & BEHAVIOUR	LIFE SCIENCES 1	233
HONOURS PSYCHOLOGY-NEUROSCIENCE & BEHAVIOUR	PHYSICAL SCIENCES 1	6
HONOURS PSYCHOLOGY-NEUROSCIENCE & BEHAVIOUR	PSYCHOLOGY	63
HONOURS PSYCHOLOGY-NEUROSCIENCE & BEHAVIOUR	SOCIAL SCIENCES	8
HONOURS PSYCHOLOGY-NEUROSCIENCE & BEHAVIOUR	SOCIAL SCIENCES 1	151
HONOURS PSYCHOLOGY-NEUROSCIENCE & BEHAVIOUR (B.A.) - MENTAL HEALTH SPECIALIZATION	SOCIAL SCIENCES 1	10
HONOURS PSYCHOLOGY-NEUROSCIENCE & BEHAVIOUR (B.Sc.) - MENTAL HEALTH SPECIALIZATION	LIFE SCIENCES 1	18
HONOURS PSYCHOLOGY-NEUROSCIENCE & BEHAVIOUR-MUSIC COGNITION	HONOURS PSYCHOLOGY-NEUROSCIENCE & BEHAVIOUR	8
HONOURS PSYCHOLOGY-NEUROSCIENCE & BEHAVIOUR-MUSIC COGNITION	LIFE SCIENCES 1	26
HONOURS PSYCHOLOGY-NEUROSCIENCE & BEHAVIOUR-MUSIC COGNITION	SOCIAL SCIENCES 1	14
HONOURS RELIGIOUS STUDIES	HONOURS POLITICAL SCIENCE & RELIGIOUS STUDIES	6
HONOURS RELIGIOUS STUDIES	HUMANITIES 1	6
HONOURS RELIGIOUS STUDIES	RELIGIOUS STUDIES	24
HONOURS RELIGIOUS STUDIES	SOCIAL SCIENCES 1	42
HONOURS RELIGIOUS STUDIES & SOCIOLOGY	SOCIAL SCIENCES 1	16
HONOURS SOCIAL PSYCHOLOGY	HONOURS SOCIOLOGY	18
HONOURS SOCIAL PSYCHOLOGY	PSYCHOLOGY	34
HONOURS SOCIAL PSYCHOLOGY	SOCIAL SCIENCES 1	281
HONOURS SOCIOLOGY	BUSINESS 1	10
HONOURS SOCIOLOGY	HONOURS COMMUNICATION STUDIES & SOCIOLOGY	7
HONOURS SOCIOLOGY	HONOURS ENGLISH & SOCIOLOGY	6
HONOURS SOCIOLOGY	HUMANITIES 1	42
HONOURS SOCIOLOGY	PSYCHOLOGY	56
HONOURS SOCIOLOGY	SOCIAL SCIENCES	45
HONOURS SOCIOLOGY	SOCIAL SCIENCES 1	676
HONOURS SOCIOLOGY	SOCIOLOGY	182
HONOURS SOCIOLOGY & THEATRE & FILM STUDIES	SOCIAL SCIENCES 1	6
HONOURS THEATRE & FILM STUDIES	HUMANITIES 1	33
HONOURS THEATRE & FILM STUDIES	THEATRE & FILM STUDIES	31
HUMANITIES	BUSINESS 1	18
HUMANITIES	HUMANITIES 1	105
HUMANITIES	SOCIAL SCIENCES 1	24
HUMANITIES 1	BUSINESS 1	13
HUMANITIES 1	ENGINEERING 1	8
HUMANITIES 1	LIFE SCIENCES 1	11
HUMANITIES 1	SOCIAL SCIENCES 1	20
INDIGENOUS STUDIES & SOCIOLOGY & SOCIAL WORK	SOCIOLOGY & SOCIAL WORK	8
INFECTECTIOUS DISEASE/INTERNAL MEDICINE	INTERNAL MEDICINE	12
INTERNAL MEDICINE	MEDICINE	93
INTERNAL MEDICINE	PSYCHIATRY	6
INTERNAL MEDICINE-WATERLOO/WELLINGTON	MEDICINE	9
JUSTICE, POLITICAL PHILOSOPHY AND LAW	HUMANITIES 1	34
JUSTICE, POLITICAL PHILOSOPHY AND LAW	SOCIAL SCIENCES 1	26
KINESIOLOGY GENERAL	HONOURS KINESIOLOGY 1	82
LABOUR STUDIES	BUSINESS 1	9
LABOUR STUDIES	HONOURS LABOUR STUDIES	10
LABOUR STUDIES	HUMANITIES 1	8
LABOUR STUDIES	SOCIAL SCIENCES	11
LABOUR STUDIES	SOCIAL SCIENCES 1	69
LIFE SCIENCES	ENVIRONMENTAL & EARTH SCIENCES 1	43
LIFE SCIENCES	ENVIRONMENTAL SCIENCES	10
LIFE SCIENCES	HONOURS LIFE SCIENCES	102
LIFE SCIENCES	HONOURS PSYCHOLOGY-NEUROSCIENCE & BEHAVIOUR	9
LIFE SCIENCES	LIFE SCIENCES 1	390
LIFE SCIENCES	MATHEMATICAL SCIENCE	6
LIFE SCIENCES	MATHEMATICS & STATISTICS 1	6
LIFE SCIENCES	MEDICAL RADIATION SCIENCES	9
LIFE SCIENCES	MEDICAL RADIATION SCIENCES - RADIOGRAPHY SPECIALIZATION	6
LIFE SCIENCES	PHYSICAL SCIENCES 1	32
LIFE SCIENCES	PSYCHOLOGY	11
LIFE SCIENCES	SCIENCE	199
LIFE SCIENCES	SOCIAL SCIENCES	6
LIFE SCIENCES	SOCIAL SCIENCES 1	16
LIFE SCIENCES 1	MEDICAL RADIATION SCIENCES	9
MANUFACTURING ENGINEERING TECHNOLOGY	ENERGY ENGINEERING TECHNOLOGIES	6
MATERIALS ENG & MANAGEMENT - NANOMATERIALS STREAM CO-OP	MATERIALS ENGINEERING & MANAGEMENT CO-OP	6
MATERIALS ENGINEERING	ENGINEERING 1	52
MATERIALS ENGINEERING	ENGINEERING 1 CO-OP	8
MATERIALS ENGINEERING	MATERIALS ENGINEERING CO-OP	26
MATERIALS ENGINEERING - NANOMATERIALS STREAM	MATERIALS ENGINEERING	9
MATERIALS ENGINEERING - NANOMATERIALS STREAM CO-OP	MATERIALS ENGINEERING CO-OP	24
MATERIALS ENGINEERING & MANAGEMENT CO-OP	ENGINEERING 1 CO-OP	14
MATERIALS ENGINEERING & SOCIETY	ENGINEERING 1 CO-OP	6
MATERIALS ENGINEERING & SOCIETY CO-OP	ENGINEERING 1 CO-OP	28
MATERIALS ENGINEERING & SOCIETY CO-OP	MATERIALS ENGINEERING CO-OP	8
MATERIALS ENGINEERING CO-OP	ENGINEERING 1	37
MATERIALS ENGINEERING CO-OP	ENGINEERING 1 CO-OP	153
MATERIALS ENGINEERING CO-OP	MATERIALS ENGINEERING	23
MATHEMATICAL SCIENCE	ENGINEERING 1	10
MATHEMATICAL SCIENCE	ENGINEERING 1 CO-OP	8
MATHEMATICAL SCIENCE	HONOURS MATHEMATICS & STATISTICS	15
MATHEMATICAL SCIENCE	HONOURS MATHEMATICS & STATISTICS(APPLIED MATHEMATICS SPEC)	14
MATHEMATICAL SCIENCE	HONOURS MATHEMATICS & STATISTICS(STATISTICS SPECIALIZATION)	19
MATHEMATICAL SCIENCE	LIFE SCIENCES 1	6
MATHEMATICAL SCIENCE	MATHEMATICS & STATISTICS 1	60
MATHEMATICAL SCIENCE	PHYSICAL SCIENCES	8
MATHEMATICAL SCIENCE	PHYSICAL SCIENCES 1	6
MATHEMATICAL SCIENCE	SCIENCE	20
MECHANICAL ENGINEERING	ENGINEERING 1	70
MECHANICAL ENGINEERING	MECHANICAL ENGINEERING CO-OP	18
MECHANICAL ENGINEERING & MANAGEMENT	ENGINEERING 1	28
MECHANICAL ENGINEERING & SOCIETY CO-OP	ENGINEERING 1	10
MECHANICAL ENGINEERING & SOCIETY CO-OP	ENGINEERING 1 CO-OP	18
MECHANICAL ENGINEERING & SOCIETY CO-OP	MECHANICAL ENGINEERING & SOCIETY	7
MECHANICAL ENGINEERING AND MANAGEMENT CO-OP	ENGINEERING 1	44
MECHANICAL ENGINEERING AND MANAGEMENT CO-OP	ENGINEERING 1 CO-OP	120
MECHANICAL ENGINEERING AND MANAGEMENT CO-OP	MECHANICAL ENGINEERING & MANAGEMENT	16
MECHANICAL ENGINEERING CO-OP	ENGINEERING 1	72
MECHANICAL ENGINEERING CO-OP	ENGINEERING 1 CO-OP	277
MECHANICAL ENGINEERING CO-OP	MECHANICAL ENGINEERING	35
MECHATRONICS ENGINEERING	ENGINEERING 1	29
MECHATRONICS ENGINEERING	MECHATRONICS ENGINEERING CO-OP	10
MECHATRONICS ENGINEERING & MANAGEMENT	ENGINEERING 1	14
MECHATRONICS ENGINEERING & MANAGEMENT CO-OP	ENGINEERING 1	12
MECHATRONICS ENGINEERING & MANAGEMENT CO-OP	ENGINEERING 1 CO-OP	76
MECHATRONICS ENGINEERING & MANAGEMENT CO-OP	MECHATRONICS ENGINEERING & MANAGEMENT	11
MECHATRONICS ENGINEERING CO-OP	ENGINEERING 1	31
MECHATRONICS ENGINEERING CO-OP	ENGINEERING 1 CO-OP	137
MECHATRONICS ENGINEERING CO-OP	MECHATRONICS ENGINEERING & MANAGEMENT CO-OP	18
