target	source	value
COMPUTER ENGINEERING & SOCIETY CO-OP	ENGINEERING 1 CO-OP	6
COMPUTER ENGINEERING CO-OP	COMPUTER ENGINEERING	32
COMPUTER ENGINEERING CO-OP	ELECTRICAL ENGINEERING CO-OP	6
COMPUTER ENGINEERING CO-OP	ENGINEERING 1	31
COMPUTER ENGINEERING CO-OP	ENGINEERING 1 CO-OP	164
COMPUTER SCIENCE 1	COMPUTER SCIENCE 1 CO-OP	8
CRITICAL CARE	INTERNAL MEDICINE	34
DIAGNOSTIC RADIOLOGY	MEDICINE	14
ECONOMICS	BUSINESS 1	210
ECONOMICS	COMMERCE	80
ECONOMICS	ENGINEERING 1	14
ECONOMICS	ENGINEERING 1 CO-OP	15
ECONOMICS	ENVIRONMENTAL SCIENCES	6
ECONOMICS	GEOGRAPHY	6
ECONOMICS	HONOURS BACHELOR OF COMMERCE	15
ECONOMICS	HONOURS ECONOMICS	43
ECONOMICS	HONOURS LIFE SCIENCES	12
ECONOMICS	HUMANITIES	18
ECONOMICS	HUMANITIES 1	16
ECONOMICS	LIFE SCIENCES	9
ECONOMICS	LIFE SCIENCES 1	8
ECONOMICS	MATHEMATICAL SCIENCE	20
ECONOMICS	MATHEMATICS & STATISTICS 1	8
ECONOMICS	PHYSICAL SCIENCES	7
ECONOMICS	POLITICAL SCIENCE	8
ECONOMICS	PSYCHOLOGY	7
ECONOMICS	SCIENCE	6
ECONOMICS	SOCIAL SCIENCES	87
ECONOMICS	SOCIAL SCIENCES 1	167
ECONOMICS	SOCIOLOGY	14
ELECTRICAL & BIOMEDICAL ENGINEERING	ENGINEERING 1	44
ELECTRICAL BIOMEDICAL ENGINEERING CO-OP	ELECTRICAL & BIOMEDICAL ENGINEERING	23
ELECTRICAL BIOMEDICAL ENGINEERING CO-OP	ENGINEERING 1	46
ELECTRICAL BIOMEDICAL ENGINEERING CO-OP	ENGINEERING 1 CO-OP	133
ELECTRICAL ENGINEERING	ELECTRICAL ENGINEERING CO-OP	40
ELECTRICAL ENGINEERING	ENGINEERING 1	78
ELECTRICAL ENGINEERING	ENGINEERING 1 CO-OP	6
ELECTRICAL ENGINEERING & MANAGEMENT	ELECTRICAL ENGINEERING & MANAGEMENT CO-OP	6
ELECTRICAL ENGINEERING & MANAGEMENT CO-OP	ELECTRICAL ENGINEERING & MANAGEMENT	10
ELECTRICAL ENGINEERING & MANAGEMENT CO-OP	ENGINEERING 1	24
ELECTRICAL ENGINEERING & MANAGEMENT CO-OP	ENGINEERING 1 CO-OP	53
ELECTRICAL ENGINEERING & SOCIETY CO-OP	ENGINEERING 1 CO-OP	28
ELECTRICAL ENGINEERING CO-OP	COMPUTER ENGINEERING CO-OP	25
ELECTRICAL ENGINEERING CO-OP	ELECTRICAL BIOMEDICAL ENGINEERING CO-OP	14
ELECTRICAL ENGINEERING CO-OP	ELECTRICAL ENGINEERING	87
ELECTRICAL ENGINEERING CO-OP	ELECTRICAL ENGINEERING & MANAGEMENT CO-OP	11
ELECTRICAL ENGINEERING CO-OP	ELECTRICAL ENGINEERING & SOCIETY CO-OP	7
ELECTRICAL ENGINEERING CO-OP	ENGINEERING 1	90
ELECTRICAL ENGINEERING CO-OP	ENGINEERING 1 CO-OP	304
EMERGENCY MEDICINE	MEDICINE	21
EMERGENCY MEDICINE-FAMILY	FAMILY MEDICINE	11
EMERGENCY MEDICINE-FAMILY MEDICINE/ROMP	FAMILY MEDICINE RURAL - KITCHENER/WATERLOO	6
ENGINEERING 1	ENGINEERING 1 CO-OP	7
ENGINEERING 1	TECHNOLOGY 1	20
ENGINEERING 1 CO-OP	ENGINEERING 1	59
ENGINEERING 1 CO-OP	TECHNOLOGY 1	8
ENGINEERING PHYSICS	ENGINEERING 1	49
ENGINEERING PHYSICS	ENGINEERING PHYSICS CO-OP	23
ENGINEERING PHYSICS & MANAGEMENT	ENGINEERING 1	6
ENGINEERING PHYSICS & MANAGEMENT CO-OP	ENGINEERING 1 CO-OP	31
ENGINEERING PHYSICS & MANAGEMENT CO-OP	ENGINEERING PHYSICS & MANAGEMENT	9
ENGINEERING PHYSICS & SOCIETY CO-OP	ENGINEERING 1 CO-OP	12
ENGINEERING PHYSICS CO-OP	ENGINEERING 1	37
ENGINEERING PHYSICS CO-OP	ENGINEERING 1 CO-OP	110
ENGINEERING PHYSICS CO-OP	ENGINEERING PHYSICS	16
ENGINEERING PHYSICS CO-OP	ENGINEERING PHYSICS & INTERNATIONAL STUDIES CO-OP	6
ENGLISH	HONOURS BIOLOGY	6
ENGLISH	HONOURS COMMUNICATION STUDIES	11
ENGLISH	HONOURS COMMUNICATION STUDIES & ENGLISH	6
ENGLISH	HONOURS ENGLISH	43
ENGLISH	HUMANITIES	8
ENGLISH	HUMANITIES 1	176
ENGLISH	SOCIAL SCIENCES 1	16
ENGLISH	SOCIOLOGY	6
ENGLISH & SOCIAL WORK	SOCIAL SCIENCES 1	6
ENVIRONMENTAL & EARTH SCIENCES 1	ENGINEERING 1	6
ENVIRONMENTAL SCIENCES	ENVIRONMENTAL & EARTH SCIENCES 1	64
ENVIRONMENTAL SCIENCES	GEOGRAPHY	6
ENVIRONMENTAL SCIENCES	LIFE SCIENCES	11
ENVIRONMENTAL SCIENCES	LIFE SCIENCES 1	10
ENVIRONMENTAL SCIENCES	PHYSICAL SCIENCES	12
ENVIRONMENTAL SCIENCES	PHYSICAL SCIENCES 1	10
ENVIRONMENTAL SCIENCES	SCIENCE	65
ENVIRONMENTAL SCIENCES	SOCIAL SCIENCES 1	6
FAMILY MEDICINE	MEDICINE	123
FAMILY MEDICINE	OBSTETRICS & GYNECOLOGY	7
FAMILY MEDICINE - NIAGARA	MEDICINE	42
FAMILY MEDICINE - PALLIATIVE CARE	FAMILY MEDICINE	8
FAMILY MEDICINE - SPORTS MEDICINE	FAMILY MEDICINE RURAL - KITCHENER/WATERLOO	6
FAMILY MEDICINE RURAL - BRAMPTON	MEDICINE	18
FAMILY MEDICINE RURAL - COLLINGWOOD	MEDICINE	9
FAMILY MEDICINE RURAL - FERGUS	MEDICINE	18
FAMILY MEDICINE RURAL - GRIMSBY	MEDICINE	9
FAMILY MEDICINE RURAL - KITCHENER/WATERLOO	MEDICINE	30
FRENCH	HONOURS FRENCH	7
FRENCH	HONOURS LIFE SCIENCES	8
FRENCH	HUMANITIES 1	6
FRENCH	LIFE SCIENCES	6
GASTROENTEROLOGY	INTERNAL MEDICINE	24
GEOGRAPHY	BUSINESS 1	12
GEOGRAPHY	ENVIRONMENTAL & EARTH SCIENCES 1	6
GEOGRAPHY	HONOURS GEOGRAPHY	10
GEOGRAPHY	HUMANITIES	6
GEOGRAPHY	HUMANITIES 1	16
GEOGRAPHY	LIFE SCIENCES	6
GEOGRAPHY	SCIENCE	8
GEOGRAPHY	SOCIAL SCIENCES	39
GEOGRAPHY	SOCIAL SCIENCES 1	83
GEOGRAPHY	SOCIOLOGY	8
GEOGRAPHY & SOCIAL WORK	SOCIAL SCIENCES 1	6
HEALTH, AGING & SOCIETY	HONOURS GERONTOLOGY	10
HEALTH, AGING & SOCIETY	HONOURS HEALTH STUDIES	14
HEALTH, AGING & SOCIETY	HUMANITIES 1	7
HEALTH, AGING & SOCIETY	PSYCHOLOGY	8
HEALTH, AGING & SOCIETY	SOCIAL SCIENCES	18
HEALTH, AGING & SOCIETY	SOCIAL SCIENCES 1	59
HEALTH, AGING & SOCIETY	SOCIOLOGY	14
HEALTH, AGING & SOCIETY & SOCIAL WORK	SOCIAL SCIENCES 1	26
HISTORY	ENGLISH	8
HISTORY	HONOURS HISTORY	11
HISTORY	HUMANITIES 1	113
HON PSYCHOLOGY-NEUROSCI & BEHAVIOUR (ORIGINS RESEARCH SPEC)	LIFE SCIENCES 1	10
HONOURS ACTUARIAL AND FINANCIAL MATHEMATICS	HONOURS LIFE SCIENCES	6
HONOURS ACTUARIAL AND FINANCIAL MATHEMATICS	HONOURS MATHEMATICS & STATISTICS(APPLIED MATHEMATICS SPEC)	66
HONOURS ACTUARIAL AND FINANCIAL MATHEMATICS	MATHEMATICS & STATISTICS 1	60
HONOURS ACTUARIAL AND FINANCIAL MATHEMATICS (CO-OP)	HONOURS MATHEMATICS & STATISTICS(APPLIED MATHEMATICS SPEC)	18
HONOURS ANTHROPOLOGY	ANTHROPOLOGY	39
HONOURS ANTHROPOLOGY	HUMANITIES 1	28
HONOURS ANTHROPOLOGY	SOCIAL SCIENCES	8
HONOURS ANTHROPOLOGY	SOCIAL SCIENCES 1	150
HONOURS ANTHROPOLOGY & POLITICAL SCIENCE	SOCIAL SCIENCES 1	12
HONOURS ANTHROPOLOGY & SOCIOLOGY	HONOURS SOCIOLOGY	12
HONOURS ANTHROPOLOGY & SOCIOLOGY	SOCIAL SCIENCES 1	39
HONOURS ART	HUMANITIES 1	18
HONOURS ART & ART HISTORY	HONOURS ART HISTORY	6
HONOURS ART HISTORY	ART HISTORY	12
HONOURS ART HISTORY	HUMANITIES 1	21
HONOURS ART HISTORY & CLASSICS	HUMANITIES 1	6
HONOURS ART HISTORY & ENGLISH	HUMANITIES 1	14
HONOURS ART STUDIO	STUDIO ART I	81
HONOURS ARTS & SCIENCE	ARTS & SCIENCE 1	281
HONOURS ARTS & SCIENCE	HONOURS ARTS & SCIENCE & BIOLOGY	11
HONOURS ARTS & SCIENCE	HONOURS ARTS & SCIENCE & CHEMICAL BIOLOGY	9
HONOURS ARTS & SCIENCE	HONOURS ARTS & SCIENCE & MATHEMATICS	6
HONOURS ARTS & SCIENCE	HONOURS ARTS & SCIENCE & PSYCHOLOGY	10
HONOURS ARTS & SCIENCE & BIOCHEMISTRY	ARTS & SCIENCE 1	8
HONOURS ARTS & SCIENCE & BIOLOGY	ARTS & SCIENCE 1	18
HONOURS ARTS & SCIENCE & BIOLOGY	HONOURS ARTS & SCIENCE	13
HONOURS ARTS & SCIENCE & BIOLOGY	HONOURS ARTS & SCIENCE & MOLECULAR BIOLOGY & GENETICS	6
HONOURS ARTS & SCIENCE & CHEMICAL BIOLOGY	ARTS & SCIENCE 1	12
HONOURS ARTS & SCIENCE & ECONOMICS	HONOURS ARTS & SCIENCE	6
HONOURS ARTS & SCIENCE & ENGLISH	ARTS & SCIENCE 1	10
HONOURS ARTS & SCIENCE & HISTORY	HONOURS ARTS & SCIENCE	11
HONOURS ARTS & SCIENCE & MATHEMATICS	ARTS & SCIENCE 1	10
HONOURS ARTS & SCIENCE & PEACE STUDIES	HONOURS ARTS & SCIENCE	6
HONOURS ARTS & SCIENCE & PHILOSOPHY	ARTS & SCIENCE 1	12
HONOURS ARTS & SCIENCE & PHYSICS	ARTS & SCIENCE 1	8
HONOURS ARTS & SCIENCE & POLITICAL SCIENCE	HONOURS ARTS & SCIENCE	18
HONOURS ARTS & SCIENCE & PSYCHOLOGY	ARTS & SCIENCE 1	18
HONOURS ARTS & SCIENCE & PSYCHOLOGY	HONOURS ARTS & SCIENCE	13
HONOURS B HTH SCI (BIOMEDICAL SCIENCES SPECIALIZATION)	HONOURS BACHELOR OF HEALTH SCIENCES	70
HONOURS B HTH SCI (CHILD HEALTH SPECIALIZATION)	HONOURS BACHELOR OF HEALTH SCIENCES	62
HONOURS B HTH SCI (GLOBAL HEALTH SPECIALIZATION)	HONOURS BACHELOR OF HEALTH SCIENCES	257
HONOURS BACHELOR OF COMMERCE	COMMERCE	2695
HONOURS BACHELOR OF HEALTH SCIENCES	HONOURS B HTH SCI (GLOBAL HEALTH SPECIALIZATION)	6
HONOURS BACHELOR OF HEALTH SCIENCES	LIFE SCIENCES 1	94
HONOURS BIOCHEMISTRY	HONOURS BIOCHEMISTRY (BIOMEDICAL SCIENCES)	111
HONOURS BIOCHEMISTRY	HONOURS BIOCHEMISTRY (BIOTECHNOLOGY)	38
HONOURS BIOCHEMISTRY	HONOURS BIOCHEMISTRY CO-OP (BIOMEDICAL SCIENCES)	7
HONOURS BIOCHEMISTRY	HONOURS CHEMICAL BIOLOGY	22
HONOURS BIOCHEMISTRY	LIFE SCIENCES 1	251
HONOURS BIOCHEMISTRY	PHYSICAL SCIENCES 1	8
HONOURS BIOCHEMISTRY - BIOMEDICAL RESEARCH SPECIALIZATION	HONOURS BIOCHEMISTRY (BIOMEDICAL SCIENCES)	39
HONOURS BIOCHEMISTRY - BIOMEDICAL RESEARCH SPECIALIZATION	HONOURS BIOCHEMISTRY (BIOTECHNOLOGY)	8
HONOURS BIOCHEMISTRY - BIOMEDICAL RESEARCH SPECIALIZATION	LIFE SCIENCES 1	82
HONOURS BIOCHEMISTRY - BIOMEDICAL RESEARCH SPECIALIZATION (CO-OP)	HONOURS BIOCHEMISTRY (BIOMEDICAL SCIENCES)	36
HONOURS BIOCHEMISTRY - BIOMEDICAL RESEARCH SPECIALIZATION (CO-OP)	HONOURS BIOCHEMISTRY (CO-OP) BIOTECHNOLOGY	26
HONOURS BIOCHEMISTRY - BIOMEDICAL RESEARCH SPECIALIZATION (CO-OP)	HONOURS BIOCHEMISTRY CO-OP (BIOMEDICAL SCIENCES)	14
HONOURS BIOCHEMISTRY - BIOMEDICAL RESEARCH SPECIALIZATION (CO-OP)	HONOURS CHEMICAL BIOLOGY	10
HONOURS BIOCHEMISTRY (BIOMEDICAL SCIENCES)	HONOURS BIOCHEMISTRY	10
HONOURS BIOCHEMISTRY (BIOMEDICAL SCIENCES)	LIFE SCIENCES 1	210
HONOURS BIOCHEMISTRY (BIOTECHNOLOGY)	LIFE SCIENCES 1	46
HONOURS BIOCHEMISTRY (CO-OP) BIOTECHNOLOGY	HONOURS BIOCHEMISTRY	8
HONOURS BIOCHEMISTRY (CO-OP) BIOTECHNOLOGY	HONOURS BIOCHEMISTRY (BIOMEDICAL SCIENCES)	7
HONOURS BIOCHEMISTRY (CO-OP) BIOTECHNOLOGY	HONOURS BIOCHEMISTRY (BIOTECHNOLOGY)	21
HONOURS BIOCHEMISTRY (CO-OP) BIOTECHNOLOGY	HONOURS BIOCHEMISTRY CO-OP (BIOMEDICAL SCIENCES)	6
HONOURS BIOCHEMISTRY CO-OP (BIOMEDICAL SCIENCES)	HONOURS BIOCHEMISTRY	9
HONOURS BIOCHEMISTRY CO-OP (BIOMEDICAL SCIENCES)	HONOURS BIOCHEMISTRY (BIOMEDICAL SCIENCES)	34
HONOURS BIOLOGY	ENVIRONMENTAL & EARTH SCIENCES 1	14
HONOURS BIOLOGY	HONOURS BIOCHEMISTRY	13
HONOURS BIOLOGY	HONOURS BIOLOGY & ENVIRONMENTAL SCIENCES	7
HONOURS BIOLOGY	HONOURS BIOLOGY & MATHEMATICS	6
HONOURS BIOLOGY	HONOURS BIOLOGY & PSYCHOLOGY	23
HONOURS BIOLOGY	HONOURS BIOLOGY (BIODIVERSITY SPECIALIZATION)	6
HONOURS BIOLOGY	HONOURS BIOLOGY (ORIGINS RESEARCH SPECIALIZATION)	7
HONOURS BIOLOGY	HONOURS BIOLOGY (PHYSIOLOGY SPECIALIZATION)	81
HONOURS BIOLOGY	HONOURS CHEMICAL BIOLOGY	7
HONOURS BIOLOGY	HONOURS LIFE SCIENCES	95
HONOURS BIOLOGY	HONOURS MOLECULAR BIOLOGY & GENETICS	80
HONOURS BIOLOGY	HONOURS MOLECULAR BIOLOGY & GENETICS CO-OP	7
HONOURS BIOLOGY	LIFE SCIENCES 1	338
HONOURS BIOLOGY & ENVIRONMENTAL SCIENCES	ENVIRONMENTAL & EARTH SCIENCES 1	16
HONOURS BIOLOGY & ENVIRONMENTAL SCIENCES	HONOURS ENVIRONMENTAL SCIENCES	8
HONOURS BIOLOGY & ENVIRONMENTAL SCIENCES	LIFE SCIENCES 1	29
HONOURS BIOLOGY & MATHEMATICS	LIFE SCIENCES 1	25
HONOURS BIOLOGY & PHARMACOLOGY (CO-OP)	HONOURS BIOCHEMISTRY (BIOMEDICAL SCIENCES)	8
HONOURS BIOLOGY & PHARMACOLOGY (CO-OP)	HONOURS BIOLOGY	29
HONOURS BIOLOGY & PHARMACOLOGY (CO-OP)	HONOURS BIOLOGY (PHYSIOLOGY SPECIALIZATION)	12
